trial,ts,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,lambda_l2,robust_delta,objective,d_model,n_heads,dropout,tft_lr,lookback,screen_score,mae_5m,acc_5m,mae_10m,acc_10m,mae_20m,acc_20m,mae_40m,acc_40m,mae_60m,acc_60m,eod_scored_rows,eod_dropped_rows,mae_eod,acc_eod,mae_mean,acc_mean,score,scoring_version,status,test_score,test_mae,test_acc,seconds,prune_bar
21,2026-09-05 03:18:36.437373-04:00,0.0458253956941356,15,250,0.8478080576206523,1.6222290086904645,1.5656051026324984,huber,64,4,0.22395807587860966,0.00298352829522203,60,0.5297023713763062,0.6797023328431446,0.5680446244364636,0.6687204679298099,0.5980811062771908,0.6440540949796065,0.6295485309339915,0.6001557730269422,0.6800726627518905,0.5660886474989558,0.717495047721952,6375.0,22575.0,0.10860043661381445,0.9811187577201341,0.5445536254820456,0.6957267883069371,0.4956219284053113,eod_pre11,ok,,,,520.6,
22,2026-09-05 03:27:17.060504-04:00,0.08487607624944939,15,250,0.5486066588626236,0.5804624765032408,1.0768933829958705,cauchy,64,4,0.27304535297734395,0.0016250520780128116,30,0.530245571210308,0.6791766432699999,0.5681974478490105,0.6664723487940525,0.6042184586699814,0.6414232485640745,0.6351222231069352,0.5960000577239132,0.6861560559334207,0.5630451274701257,0.7203313524221142,6375.0,22575.0,0.11066307429141874,0.9827068995941415,0.5427967500189307,0.6994554062626005,0.4929328984532806,eod_pre11,ok,,,,327.4,
23,2026-09-05 03:32:44.494408-04:00,0.09795024352485407,15,20,0.8556260745648021,0.3999190359397074,1.7790816221117496,cauchy,32,4,0.12882241782767273,0.0009214785235636879,30,0.5385512149822548,0.678703037943665,0.5704897990372125,0.6644640829989458,0.603441578620261,0.6403451010252063,0.6357194044111792,0.5956407946023923,0.6847619449959866,0.5977552762587259,0.7084909058166756,6375.0,22575.0,0.12805940494908385,0.9790012352214575,0.5508279496296699,0.6969841446837955,0.5015819134587209,eod_pre11,ok,,,,296.8,
24,2026-09-05 03:37:41.255401-04:00,0.02134037667187349,127,20,0.6423213553651108,0.49490802337389556,1.4985423705566991,pseudo_huber,32,2,0.19793390152066698,0.0015233335166552732,60,0.5402764265554411,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,12.2,0.5385459607955216
25,2026-09-05 03:37:53.437884-04:00,0.023867039235801503,63,20,0.5209110277869786,1.2150856346415262,2.4989658571731432,pseudo_huber,32,2,0.11084781018783173,0.0013312225885794672,90,0.5457070508833074,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,10.4,0.5392412996115293
26,2026-09-05 03:38:03.809435-04:00,0.01857107794983436,127,40,0.5206970632136175,1.0698848549852404,1.9772269337729194,cauchy,64,2,0.15098696977650555,0.0013262149234915801,90,0.55022180571402,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,11.1,0.5402764265554411
27,2026-09-05 03:38:14.957358-04:00,0.044100020640202756,15,60,0.8732698543583384,0.35301908106453106,1.892398983206997,pseudo_huber,16,4,0.16774912996866348,0.001103446720720735,60,0.5306338731038359,0.6784421808023698,0.5703751814778024,0.6668653164400437,0.5990133623368552,0.6391530244283494,0.6311012023250259,0.5961924728763777,0.6745384647881374,0.5630670059885968,0.7019178822258239,6375.0,22575.0,0.09685279313783464,0.9788247750132345,0.540095465612262,0.6926284780278132,0.4919383461053086,eod_pre11,ok,,,,456.7,
28,2026-09-05 03:45:51.698575-04:00,0.04989432262244112,31,20,0.4269701779288546,36.574911399547176,1.4724737913504429,huber,32,2,0.20092715101067382,0.001992880690732567,30,0.5367857771378229,0.6788525245927844,0.569916711240162,0.6668137935673643,0.5997125543816035,0.6424513552058015,0.63763038458476,0.5993861985976381,0.6792277470322335,0.5662234620231116,0.7165946335314245,6375.0,22575.0,0.10988866684230732,0.9839421210517029,0.5439360001381679,0.6978373586369812,0.4944766604789226,eod_pre11,ok,,,,344.3,
29,2026-09-05 03:51:36.034528-04:00,0.07289665562099483,15,40,0.4711036722377051,14.631156761225032,1.1093648042703232,huber,64,4,0.3389463370685935,0.0005070212868756203,90,0.5323384643116685,0.6804543736715536,0.5607855123404906,0.6688234865616572,0.5981976382846489,0.6444607114886811,0.6264033760649733,0.6019614140962426,0.6721727007730979,0.5753062064125862,0.6996218260399784,6375.0,22575.0,0.12990461137417547,0.9745897300158815,0.550151800600816,0.6886284639198451,0.5029946846208547,eod_pre11,ok,,,,666.8,
30,2026-09-05 04:02:44.538986-04:00,0.011005476158288268,31,40,0.8500750985094152,2.873367706606371,1.3692087251712064,huber,64,2,0.08263790036761068,0.00040706361230715825,30,0.5599736296975016,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,9.1,0.5392412996115293
31,2026-09-05 04:02:53.684495-04:00,0.023060697668864233,15,40,0.5975278244243863,3.851129863216355,1.558690247434235,huber,32,4,0.2953636574540827,0.0034598092950354066,30,0.5454098696575659,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,8.6,0.5402764265554411
32,2026-09-05 04:03:02.287639-04:00,0.027170227269326462,63,40,0.9496934950820317,0.5789922439871696,2.263060842707881,cauchy,32,4,0.22732337774450617,0.0014559313039929091,30,0.531937548643599,0.6784119366107314,0.572209062428364,0.6660577966504407,0.6063160348042262,0.6405628332370782,0.6388645592801975,0.5950673471373429,0.6897891935279455,0.5624347093800325,0.7205114352602197,6375.0,22575.0,0.09536818971001282,0.9850008823010411,0.5396504687876065,0.7021151946003323,0.4891216701375234,eod_pre11,ok,,,,355.0,
33,2026-09-05 04:08:57.266874-04:00,0.005161831467447972,31,60,0.8262999728317648,7.905824900012323,0.75959645100045,huber,16,2,0.05818034882602993,0.0021328312958010303,90,0.5931057689359425,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,9.3,0.5408186618139722
34,2026-09-05 04:09:06.556559-04:00,0.0247858835879829,63,40,0.6311584333496444,3.570069090200649,0.6991658474330564,pseudo_huber,64,2,0.2489332653261449,0.00042156646737256655,60,0.5336404551827832,0.6800553536578374,0.5668984488423626,0.6682040468701542,0.6004894344313239,0.6410851720394994,0.6351222231069352,0.5988946579607094,0.6922816949009336,0.5673046864715852,0.7215018908698001,6375.0,22575.0,0.11052354103712456,0.9758249514734427,0.5443445763394851,0.698686440604133,0.4946729661884518,eod_pre11,ok,,,,707.6,
35,2026-09-05 04:20:54.194094-04:00,0.06961463035995462,31,120,0.5397116398600036,30.741683628577608,2.2561528996558424,pseudo_huber,32,2,0.29768110644155565,0.00032018190847403114,30,0.5323828302133579,0.6807694393976598,0.5649499503323909,0.6698462328384407,0.5949347420758235,0.6442496600534863,0.6276773628473604,0.601958049795886,0.6827763930547928,0.5729617271931087,0.7060597875022511,6375.0,22575.0,0.11453678748289187,0.9892359272983942,0.5473869827935789,0.694272360518502,0.4988188926639534,eod_pre11,ok,,,,390.5,
36,2026-09-05 04:27:24.714482-04:00,0.08651805825419596,63,250,0.44478062213045577,37.5303385973497,1.067360755844677,cauchy,64,4,0.10345634946055285,0.0008137303944234919,90,0.526351971195168,0.6820140450519749,0.5572705738519141,0.6702877355767671,0.5928371659415786,0.6464968452133065,0.6318576319770682,0.6032976778208463,0.6824806725529129,0.5703646475198638,0.7117774176121016,6375.0,22575.0,0.1375854107973058,0.96523733898006,0.5516743936633443,0.6902434668192726,0.5041135269585261,eod_pre11,ok,,,,693.6,
37,2026-09-05 04:38:58.347484-04:00,0.08788158184488941,15,120,0.7861925443280735,1.0366734784967144,1.9648510477442482,pseudo_huber,16,2,0.12479319565692897,0.00037033706009861325,30,0.5282252370306612,0.6789250549184548,0.5692290058837014,0.6676903493713751,0.598430702299565,0.6407401517548633,0.6352018472808345,0.5969124055010725,0.6863672848633349,0.5644836848558329,0.707230325949937,6375.0,22575.0,0.0980141155089699,0.9818245985530263,0.5411276269850948,0.6963806274717331,0.49203247011716145,eod_pre11,ok,,,,351.3,
38,2026-09-05 04:44:49.639008-04:00,0.02039382385166268,31,20,0.9414934291524071,3.739437667726551,2.045582886947159,pseudo_huber,32,2,0.18547309749172197,0.00032289275372206065,30,0.538728449236824,0.6806601056410805,0.5648735386261176,0.6698275812879932,0.6016935985083903,0.6435985372632235,0.6294290946731428,0.603661441714641,0.6766085083012969,0.5730573528742702,0.7021429857734558,6375.0,22575.0,0.0987756612711052,0.9821775189694724,0.5449301133420523,0.6928208741419791,0.49672489480655757,eod_pre11,ok,,,,473.8,
39,2026-09-05 04:52:43.471949-04:00,0.012298561843549029,15,120,0.49910637933881413,32.91390818279836,1.7694836352138767,huber,16,4,0.31877097039290436,0.0006417123255817498,60,0.5660254017739649,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,8.7,0.5386930023859101
40,2026-09-05 04:52:53.741713-04:00,0.00716815146253331,15,40,0.6665798267209313,2.3249733990580217,0.9868407379020436,huber,32,2,0.2595906132327526,0.004979108428870828,60,0.5862425305702686,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,9.0,0.5393476401642708
41,2026-09-05 04:53:02.711942-04:00,0.033433112650201345,31,20,0.48321636115958067,1.4453209063302546,2.3812933163926244,cauchy,16,4,0.17150045866546293,0.0006230376127432184,60,0.5400271739460691,0.6792213446209933,0.5693818292962481,0.6680624922575066,0.6061606587942822,0.6444846449076836,0.6383868142368023,0.6027606280853923,0.6870009716530776,0.5840623568094222,0.6935440302539168,6375.0,22575.0,0.1157726919963128,0.980765837303688,0.5490606931128851,0.6958733569230026,0.5000923538821345,eod_pre11,ok,,,,418.0,
42,2026-09-05 05:00:00.736261-04:00,0.034253494776449574,127,120,0.823814456126181,0.9477677490941679,0.8845877089809147,cauchy,16,4,0.11466680608162164,0.0013406465909658852,30,0.5275020229488467,0.6785545480023254,0.5702605639183923,0.6656479524199564,0.6037911746426352,0.6370993925502693,0.6386256867584998,0.5889275315389352,0.6925774154028136,0.5587014604873024,0.7206915180983252,6375.0,22575.0,0.1251364685089531,0.9820010587612493,0.5423445589179569,0.701324569596986,0.49201341651871033,eod_pre11,ok,,,,369.3,
43,2026-09-05 05:06:10.060136-04:00,0.012918518959779973,15,120,0.9343642640291018,17.45561699694814,0.6796861342829073,pseudo_huber,64,2,0.10312743103064154,0.0006220776788253638,60,0.5512979433825527,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,9.9,0.5400770244679435
44,2026-09-05 05:06:19.918804-04:00,0.005921814988091108,127,40,0.6581236360052126,0.5401718608499888,2.4332694590922523,huber,32,2,0.1452289936786574,0.003852163290347179,60,0.5853300267177648,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,11.2,0.5402265760335667
45,2026-09-05 05:06:31.090586-04:00,0.0650079759372103,127,60,0.40056085538629593,8.896228487202219,1.1701758167364884,pseudo_huber,16,4,0.2687049441690948,0.0019635052319896523,60,0.5355347082816972,0.6795249490022587,0.5683502712615572,0.667328339084,0.5992464263517713,0.6442367567367978,0.6298272155426388,0.5995618077788527,0.686071564361455,0.5757081577171408,0.7002971366828741,6375.0,22575.0,0.12391045771944999,0.9767072525145579,0.54837841133975,0.6934166444524757,0.500024250226631,eod_pre11,ok,,,,388.0,
46,2026-09-05 05:12:59.118472-04:00,0.006724924267612853,127,250,0.6647825902630917,31.283027872646915,1.3392112947416777,pseudo_huber,64,4,0.061151076018897126,0.0036702253612000664,90,0.5795333266938854,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,11.2,0.5402764265554411
47,2026-09-05 05:13:10.352051-04:00,0.03845145808730826,15,60,0.4014577572471188,7.76581499729205,1.7850515420327075,pseudo_huber,64,2,0.06882208024021748,0.002419905738171043,60,0.5445504486145897,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,9.5,0.5419031323310346
48,2026-09-05 05:13:19.851483-04:00,0.015054804696377344,63,40,0.769798926903254,0.38741112091024565,0.5624429032521863,huber,64,4,0.2900302019494393,0.0012009437237017273,90,0.5564820321235149,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,9.9,0.5433001720013956
49,2026-09-05 05:13:29.716117-04:00,0.016039793790589556,15,20,0.417696333723836,17.736516055390698,1.0087277025981216,pseudo_huber,64,2,0.12346832764144873,0.0010338991216006627,30,0.5608025644666479,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,9.4,0.5442378794612911
50,2026-09-05 05:13:40.661352-04:00,0.015482827015734918,127,40,0.8270944511236382,0.4527376596229156,1.722891512851424,cauchy,32,2,0.10444950072428597,0.001902889248268306,60,0.5465435819227221,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,11.7,0.5448942170317802
51,2026-09-05 05:13:52.365491-04:00,0.04297025394464709,15,60,0.7195485659285288,5.0064027376763,1.3682224887694148,cauchy,32,2,0.13572120358619782,0.0032830500125850194,60,0.5315521040653984,0.6784330183048287,0.5707954458623061,0.6675977829857456,0.6014605344934743,0.6412338840369841,0.6412134724102238,0.5971743067259779,0.6968864855730641,0.5653850701748684,0.7156491986313704,6375.0,22575.0,0.11419127810243708,0.9811187577201341,0.5440025567218069,0.7011873157817622,0.49370572777636634,eod_pre11,ok,,,,501.8,
52,2026-09-05 05:22:14.123197-04:00,0.013941947723213869,31,20,0.7443880411644366,24.23637810894191,0.725270935621829,pseudo_huber,16,4,0.13152536854309888,0.00048551845573658025,30,0.5483115853416709,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,10.4,0.5450661012403754
53,2026-09-05 05:22:24.526314-04:00,0.011516127735989664,63,60,0.5221416770588546,4.6691154418022816,1.31689996407061,pseudo_huber,32,2,0.276632657557334,0.00175414331336747,30,0.5628295909576531,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,10.4,0.5454693059027141
54,2026-09-05 05:22:34.974233-04:00,0.026471561207911713,31,40,0.9487037579550465,12.92692547807845,2.1637433734470815,huber,32,2,0.25734728663982853,0.0006884893084854152,60,0.5333921720516501,0.6795362499182688,0.5699549170932987,0.6670238718849023,0.6001009944064637,0.6408135588498147,0.6356795923242297,0.5971728036089309,0.6855223691436779,0.5649324041941659,0.7142085359265262,6375.0,22575.0,0.10228896469687805,0.9827068995941415,0.5419613088588268,0.6980288847480564,0.49245408767181265,eod_pre11,ok,,,,480.3,
55,2026-09-05 05:30:35.281356-04:00,0.010759789048654801,63,120,0.5733509082133169,0.3641913801347734,1.4229024083083757,huber,64,2,0.21892820413090774,0.003815800066692159,60,0.5665927387600274,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,9.9,0.5455287421478625
56,2026-09-05 05:30:45.175930-04:00,0.00787889360931677,15,20,0.4098524096394727,1.9153364341869408,0.7580563471029924,cauchy,32,2,0.0769696107283698,0.0023588388652030397,30,0.5840593427940934,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,8.9,0.5457070508833074
57,2026-09-05 05:30:54.103774-04:00,0.04825282233347015,127,250,0.5952310191130736,4.975535502097324,1.7775587521059608,huber,64,2,0.15033489358764465,0.0005748138441107926,90,0.5268929782182153,0.6805397348641938,0.5659433025139451,0.6699309080215735,0.5952454940957116,0.6442567379574556,0.6324946253682618,0.6027824729833311,0.6864940222212834,0.5685490901775779,0.7224023050603278,6375.0,22575.0,0.12561200818524737,0.9793541556379036,0.5486118253648965,0.6969889841495722,0.49936457932750344,eod_pre11,ok,,,,723.3,
58,2026-09-05 05:42:57.422323-04:00,0.01145727865682804,31,40,0.8260068899621062,7.387092650979847,0.7395610460786577,huber,32,4,0.19789065629920433,0.002417626692088601,60,0.5630360599691363,,,,,,,,,,,,,,,inf,0.0,inf,,pruned,,,,9.5,0.5458743570911904
